GDP,Tertiary_Education,Cost_buss_proc,Corporate_Tax,Income_Tax,UNEDUC,knowent,opport,suskill,sunewcst,discent,IND_UNK,IND_EXTRAC,IND_TRANS,IND_SERV,IND_CONS,gender,age,age2,TEAyy
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,1,0,0,0,0,0,1,2,57,3249,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,1,0,1,0,0,0,0,1,2,64,4096,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,1,0,2,62,3844,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,0,0,0,0,0,0,0,1,2,47,2209,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,1,0,1,0,0,0,0,1,2,55,3025,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,0,0,0,0,1,0,0,2,58,3364,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,62,3844,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,1,0,0,0,0,0,1,2,63,3969,1
56812.54,46.51,1.2,2.117,10.565,0,1,0,1,0,0,0,0,0,0,1,2,63,3969,1
56812.54,46.51,1.2,2.117,10.565,0,1,1,1,1,0,0,0,0,0,1,2,42,1764,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,1,0,0,0,0,0,1,2,45,2025,1
56812.54,46.51,1.2,2.117,10.565,1,1,1,1,0,0,0,0,0,1,0,2,58,3364,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,1,0,2,35,1225,1
56812.54,46.51,1.2,2.117,10.565,0,0,0,1,0,0,0,0,1,0,0,2,53,2809,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,0,0,0,0,1,0,2,60,3600,1
56812.54,46.51,1.2,2.117,10.565,1,1,0,1,0,1,0,0,1,0,0,2,44,1936,1
56812.54,46.51,1.2,2.117,10.565,1,0,1,1,0,0,0,0,0,1,0,2,61,3721,1
56812.54,46.51,1.2,2.117,10.565,1,0,0,1,0,0,0,0,0,1,0,2,51,2601,1
